price_per_month,metro_nearest_time,total_area,floor,has_bath_flg,has_shower_flg,has_internet_flg,has_ac_flg,has_room_furniture_flg,has_kitchen_furniture_flg,has_dishwasher_flg,has_washer_flg,has_tv_flg,has_fridge_flg,utility_fixed_bill,utility_usage_bill_flg,utility_counters_extra_flg,deposit,comission,prepayment_months_cnt,rent_term_months_cnt,combined_bathrooms_cnt,separate_bathrooms_cnt,repair_cat,freight_elevators_cnt,passenger_elevators_cnt,parking_cat,heating_cat,balcony_cnt,loggia_cnt,has_garbage_chute_flg,has_concierge_flg,entrances_cnt,individual_project_flg,era_cat,house_type_monolithic_flg,house_type_monolithic_brick_flg,house_type_panel_flg,district_krasnogvardeysky_flg,district_krasnoselsky_flg,district_moskovsky_flg,district_nevsky_flg,district_other_flg,district_primorsky_flg,district_vyborgsky_flg
80000,29,78.0,0.14,0,0,1,1,1,1,1,1,1,1,15000,0,1,80000,1.0,1,12,1,1,3,0,1,2,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0
38000,17,33.0,0.08,1,0,0,0,1,1,0,1,0,1,0,1,1,35000,0.0,1,3,0,1,1,0,2,1,1,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,1
65000,11,52.0,0.71,0,1,1,0,1,1,1,1,1,1,6000,0,1,70000,0.0,1,12,1,0,3,1,1,1,0,0,1,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0
29000,25,27.0,0.44,0,1,1,0,1,1,0,1,1,1,3000,0,1,29000,0.0,1,12,1,0,2,1,1,0,1,1,0,0,0,11,0,4,1,0,0,0,0,0,0,1,0,0
32000,12,49.6,0.54,1,0,1,0,1,1,0,1,1,1,12000,0,1,34000,0.0,1,3,0,1,1,2,2,1,3,1,1,0,0,1,1,4,0,0,1,1,0,0,0,0,0,0
50000,23,65.0,0.31,1,0,1,0,1,1,0,1,0,1,5500,0,1,50000,0.3,1,12,0,1,2,0,1,1,3,1,0,0,0,8,1,3,0,0,0,0,0,0,0,0,1,0
220000,4,78.0,0.82,1,1,1,1,1,1,1,1,1,1,0,1,1,190000,0.0,2,3,0,2,3,1,1,2,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,1,0,0
48000,3,23.0,0.5,0,0,1,1,1,1,0,1,1,1,0,1,1,48000,0.0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0
55000,17,30.0,0.17,0,0,1,0,1,1,0,1,0,1,4000,0,1,55000,1.0,1,12,1,0,2,0,2,2,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0
67000,15,43.0,0.2,0,1,1,1,1,1,1,1,1,1,7000,0,1,67000,0.0,1,3,1,0,2,1,1,0,3,0,1,0,0,10,1,4,0,1,0,0,0,0,0,0,0,0
53000,23,64.0,0.21,1,0,1,0,1,1,1,1,1,1,6000,0,1,53000,0.0,1,12,0,1,1,1,1,1,1,0,3,1,0,2,0,3,0,0,0,0,0,0,1,0,0,0
38000,16,50.0,0.71,1,0,1,0,1,1,0,1,0,1,5000,0,1,40000,0.0,1,3,0,1,2,0,1,1,1,0,1,1,0,4,1,3,0,0,0,0,0,0,0,1,0,0
73000,5,69.5,0.12,1,0,1,0,1,1,1,1,1,1,0,1,1,79000,0.0,1,12,0,1,1,1,1,2,3,2,0,0,0,3,0,4,1,0,0,0,0,0,0,0,1,0
120000,20,52.9,0.38,0,0,0,0,1,0,0,1,1,1,0,1,1,120000,0.0,1,12,1,0,3,0,0,2,3,1,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0
25000,12,55.0,0.67,1,0,1,0,1,1,0,1,0,1,0,1,1,25000,0.0,1,12,0,1,1,0,1,0,1,0,1,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0
